parent_aadhaar,parent_age,parent_income,parent_house_count,parent_owns_car,child_aadhaar,child_name,child_income
104332000000,60,32280,0,TRUE,908386000000,Danielle,1474104
104332000000,60,32280,0,TRUE,654235000000,Angel,1276105
104332000000,60,32280,0,TRUE,407816000000,Joshua,413258
103413000000,71,66566,0,FALSE,192833000000,Jeffrey,1777588
103413000000,71,66566,0,FALSE,305641395317,Jill,839700
103413000000,71,66566,0,FALSE,724239000000,Erica,769161
328710000000,72,70019,2,FALSE,480185000000,Patricia,16805
328710000000,72,70019,2,FALSE,482815000000,Christopher,1141159
328710000000,72,70019,2,FALSE,809570000000,Robert,1851319
911718000000,76,75461,0,TRUE,465787000000,Anthony,1243772
911718000000,76,75461,0,TRUE,839301000000,Jeffery,1088263
911718000000,76,75461,0,TRUE,347383000000,William,409318
116567000000,85,34322,0,TRUE,872625000000,Anthony,116091
801327000000,72,20282,1,FALSE,468723000000,James,1578618
801327000000,72,20282,1,FALSE,500979000000,Debra,153699
913619000000,73,96503,2,FALSE,353462000000,Amy,1312665
913619000000,73,96503,2,FALSE,911838000000,Jeffrey,607661
278498000000,63,34029,2,TRUE,493535000000,Bridget,1749269
278498000000,63,34029,2,TRUE,400524000000,Lisa,244616
128060000000,71,25229,1,TRUE,315869000000,Adam,386146
128060000000,71,25229,1,TRUE,563422000000,Linda,743286
128060000000,71,25229,1,TRUE,433037000000,Helen,848186
850143000000,71,61114,1,TRUE,934061000000,Matthew,1999934
850143000000,71,61114,1,TRUE,595148000000,Eric,276941
366299000000,66,76346,2,FALSE,773872000000,Susan,1726358
366299000000,66,76346,2,FALSE,343320000000,Matthew,879145
936763000000,85,87889,1,TRUE,317279000000,Christopher,904940
936763000000,85,87889,1,TRUE,872774000000,Colin,932479
936763000000,85,87889,1,TRUE,143456000000,Melanie,1465318
231666000000,72,96556,2,TRUE,670547000000,Cassandra,470160
231666000000,72,96556,2,TRUE,467066000000,Lindsay,66552
231666000000,72,96556,2,TRUE,699016000000,Jessica,696508
375565000000,61,65870,0,TRUE,3309232719,Amanda,1997590
375565000000,61,65870,0,TRUE,374530000000,Teresa,63851
375565000000,61,65870,0,TRUE,496632000000,Nicholas,1679809
905865000000,63,76822,1,FALSE,262850000000,Andrea,685921
905865000000,63,76822,1,FALSE,314738000000,Maria,1794577
905865000000,63,76822,1,FALSE,527355000000,Christine,1093445
313678000000,69,49045,1,TRUE,957886000000,Michelle,653035
313678000000,69,49045,1,TRUE,431352000000,Barbara,1529564
989413000000,82,90010,0,FALSE,84271094777,Janet,724512
204712000000,64,93772,1,TRUE,186999000000,Brandon,1813900
964991000000,65,51439,0,TRUE,67974034471,Jeremy,1451550
349362000000,61,41747,1,FALSE,174649000000,Keith,1875254
349362000000,61,41747,1,FALSE,659401000000,Christopher,94371
278743000000,73,63687,1,TRUE,567468000000,Jesse,253105
680876000000,80,77939,0,TRUE,824771000000,Craig,38677
680876000000,80,77939,0,TRUE,861317000000,Joshua,881346
773783000000,68,74387,1,FALSE,449973000000,Cynthia,1609859
867534000000,83,81993,2,FALSE,270290000000,Michael,42186
867534000000,83,81993,2,FALSE,262175000000,Mitchell,806937
578091000000,84,33173,1,TRUE,400505000000,Jason,874135
578091000000,84,33173,1,TRUE,922220000000,Joseph,496934
578091000000,84,33173,1,TRUE,747407000000,Sharon,1242227
